escalate                           eskalieren
higher education                   Hochschulwesen, Hochschulbildung
highest award                      die höchste Belohnung, der erste Preis
highest bid                        Höchstangebot
highest bidder                     Höchstanbieter, Meistbietender
highest level                      Höchststand
highest quality                    beste Qualität, Spitzenqualität
highest rate                       höchster Satz
highlight                          Glanzpunkt
highly                             sehr
highly qualified manpower          hochqualifizierte Arbeitskräfte
highly trained employee            hochqualifizierte Arbeitskraft
highness                           Höhe
highway                            Fernstraße, Landstraße
highway robbery                    Straßenräuberei
highway transport                  Güterfernverkehr (US)
hilarious                          heiter, lustig
hinder                             hindern, behindern, aufhalten
hindrance                          Hindernis, Behinderung
hint                               andeuten, Hinweis
hint                               Tip, Wink
hinterland                         Hinterland
hire                               einstellen, anheuern, anwerben
hire                               mieten, anheuern
hire  purchase system              Mietkaufsystem
hire a crew                        eine Mannschaft anheuern
hire purchase                      Mietkauf, Kauf auf Raten
hire purchase agreement            Mietkaufvertrag
hire-purchase                      Abzahlungskauf, Mietkauf
hire-purchase agreement            Abzahlungsvertrag, Mietkaufvertrag
hire-purchaser                     Käufer auf Raten, Mietkäufer
hirer of a safe                    Mieter eines Tresorfaches
hiring contract                    Mietvertrag
hiring of men                      Anheuern von Leuten
hiring procedure                   Verfahren der Anheuerung
hiring rate                        Zugangsrate
historian                          Geschichtsschreiber
history                            Geschichte
histogram                          Histogramm, Balkendiagramm
hit                                treffen, schlagen, Treffer, Schlager
hit by unemployment                von Arbeitslosigkeit betroffen sein

hoard                              horten, Hort
hoard up a treasure                ein Vermögen ansammeln
hoarding                           Horten
hoarding of goods                  Horten von Ware
hoarding of labour                 Hortung von Arbeitskräften
hoarding of money                  Horten von Geld
hoarding purchases                 Hortungskäufe
hoist                              Flaschenzug, Winde
hoist                              hochziehen, hochwinden
hold                               halten, festhalten, innehalten, besitzen
hold a chair                       einen Lehrstuhl innehaben
hold a festival                    ein Fest abhalten
hold a job                         einen Arbeitsplatz haben
hold a view                        eine Ansicht vertreten
hold an account with               ein Konto haben bei
hold bonds                         Obligationen besitzen
hold good                          gelten
hold in pledge                     als Pfand halten
hold one's ground                  sich behaupten
hold responsible                   verantwortlich machen, haftbar machen
hold sb. liable                    jemanden zur Verantwortung heranziehen
hold shares                        Aktien besitzen
hold up                            aufrecht halten
hold-up                            Überfall, Stockung
holder                             Inhaber
holder                             Inhaber
holder for value                   gutgläubiger Erwerber
holder in due course               rechtmäßiger Inhaber
holder of a bill of exchange       Inhaber eines Wechsels
holder of a Bond                   Inhaber einer Obligation
holder of a cheque                 Inhaber eines Schecks
holder of a cheque                 Scheckinhaber
holder of a copyright              Inhaber eines Urheberrechts
holder of a licence                Inhaber einer Lizenz
holder of a licence                Lizenzinhaber
holder of a patent                 Inhaber eines Patents
holder of a pension                Empfänger einer Pension
holder of a pledge                 Pfandhalter
holder of a position               Stelleninhaber
holder of a scholarship            Empfänger eines Stipendiums
holder of a security               Inhaber eines Wertpapiers
holder of a share                  Inhaber einer Aktie
holder of a title                  Inhaber eines Titels
holder of an account               Kontoinhaber
holder of an annuity               Rentenempfänger
holder of preferential shares      Vorzugsaktionär
holding company                    Dachgesellschaft, Beteiligungsgesellschaft
holding company                    Holdinggesellschaft
holding company                    Holdinggesellschaft, Dachgesellschaft
holding of shares                  Aktienbesitz
holding society                    Holdinggesellschaft
holdings of foreign currency       Reserven in ausländischer Währung
holdings of gold                   Goldreserven
holdings of securities             Wertpapierbestände
holdup                             Betriebsstörung, Stillstand
holiday camp                       Ferienlager
holiday course                     Ferienkurs, Ferienschule
holiday entitlement                Urlaubsanspruch
holiday pay                        Feiertagslohn
holiday pay                        Urlaubsgeld
holiday pay                        Urlaubszulage
holiday work                       Ferienarbeit
holidays                           Urlaub
hollow                             hohl
holograph                          eigenhändig selbst geschrieben
homage                             Huldigung
home                               Zuhause. Heim
home address                       Heimatanschrift, Privatanschrift
home consumption                   Inlandsverbrauch
home country                       Heimatland
home country                       Heimatland, Vaterland
home delivery                      Anlieferung frei Haus
home demand                        Inlandsnachfrage
home economics                     Hauswirtschaftslehre
home for old aged                  Altersheim
home for old people                Altersheim
home industry                      Heimindustrie, heimische Wirtschaft
home insurance                     Hausversicherung
home made                          selbstgemacht
home market                        Inlandsmarkt, Binnenmarkt, heimischer Markt
Home Office                        (Br.) Innenministerium
home produced goods                Inlandserzeugnisse
home safe                          Heimsparbüchse
home sales                         Inlandsverkäufe
Home Secretary                     (Br.) Innenminister
home service office                Kleinlebensversicherung
home trade                         Binnenhandel
home worker                        Heimarbeiter
home-produced goods                im Inland hergestellte Ware, Inlandsware
home-service insurance man         Hausvertreter
home-work                          Heimarbeit, Schulaufgabe
homeless                           heimatlos
homely                             einfach, schlicht, gemütlich
homemade                           selbstgemacht, im Inland hergestellt
homeowner                          Hauseigentümer
homeowner's insurance policy       Hausrats- und Haftpflichtversicherung
homestead                          Heimstätte, Eigenheim (US)
homework                           Heimarbeit
homework system                    Heimarbeitssystem
homicide                           Mord, Totschlag, Ermordung
honest                             ehrlich
honesty                            Ehrenhaftigkeit
honor                              Ehre, ehren (US)
honorarium                         Honorar als ehrenhafte Vergütung
honorary                           ehrenhalber
honorary appointment               Berufung in ein Ehrenamt
honorary member                    Ehrenmitglied
honorary office                    Ehrenamt
honour                             Ehre, ehren, honorieren
honour                             einlösen
honour a bill                      einen Wechsel einlösen
honour a bill                      einen Wechsel zahlen
honour a bill at maturity          Wechsel einlösen
honour a bill on presentation      einen Wechsel bei Vorlage einlösen
hooligan                           Straßenlümmel
hoot                               tuten, hupen
hop                                hüpfen, Sprung
horizon                            Gesichtskreis, Horizont
horizontal                         horizontal
horizontal amalgamation            horizontaler Zusammenschluss
horizontal expansion               horizontale Erweiterung
horizontal integration             horizontale Zusammenlegung
horoscope                          Horoskop
horrible                           entsetzlich
horrify                            Entsetzen verursachen
horse                              Pferd
horticulture                       Gartenbau
horticulturist                     Gemüsegärtner
hosiery                            Strumpfwaren
hospitable                         gastfreundlich
hospital                           Krankenhaus
hospital accommodation             Krankenhausunterbringung
hospital expense                   Krankenhauskosten
host                               Gastgeber
host country                       Gastland, Aufnahmeland
hostage                            Geisel
hostel                             Herberge, Jugendherberge
hostess                            Gastgeberin, Hostesse
hostile fire                       Schadensfeuer
hostilities risk                   Risiko von Feindseligkeiten
hot                                heiß
hot issues                         heiße Aktien
hot money                          Fluchtgeld, heißes Geld
hotel                              Hotel
hotel accommodation                Hotelunterkunft
hotel business                     Hotelgewerbe
hotel chain                        Hotelkette
hotel reservation                  Hotelreservierung
hotelier                           Hotelier
hour                               Stunde
hourly earnings                    Stundenverdienst
hourly output                      Stundenleistung
hourly productivity of labour      Stundenproduktivität der Arbeit
hourly rate                        Stundenlohn, Stundensatz
hourly rate                        Stundensatz
hours of attendance                Dienststunden
hours of business                  Geschäftsstunden
hours of work                      Arbeitszeit
hours of work                      Arbeitszeit
hours on incentive                 Akkordstunden
hours paid at hourly rate          Zeitlohnstundenanteil
hours worked                       geleistete Arbeitsstunden
house                              Haus, unterbringen
house advertising                  Eigenwerbung, Werbung für das eigene Haus
house agency                       Hausagentur
house bill                         aufs eigene Haus gezogener Wechsel
house hunting                      Wohnungssuche
house owner                        Hausbesitzer
house owner                        Hauseigentümer
house owner's policy               Hauseigentümerversicherung
house-to-house distribution        Direktvertrieb
housebreaker                       Einbrecher
housebreaking                      Einbruch
housebuilding                      Wohnungsbau
household                          Haushalt
household                          Haushalt
household aids                     haushaltliche Geräte
household and personal effects     Hausrat
household effects                  Hausrat, Hausratsgut
household insurance                Hausratsversicherung
household money                    Wirtschaftsgeld
household sample                   Haushaltsstichprobe
household supply store             Geschäft für Haushaltswaren, Haushaltsgeräte
household survey                   Haushaltserhebung, Haushaltsbefragung
householder's comprehensive insurance  Hausrat- und Haftpflichtversicherung
householder's comprehensive policy Hausrats- und Haftpflichtversicherung
householder's insurance policy     Hausrats- und Haftpflichtversicherung
housekeeping                       Haushaltsführung
housekeeping allowance             Haushaltsgeld
housekeeping money                 Wirtschaftsgeld
housewife                          Hausfrau
housing                            Behausung, Wohnungswesen
housing agency                     Wohnungsvermittlung
housing allowance                  Wohngeld
housing allowance                  Wohngeld, Wohnungszuschuss
housing allowance                  Wohnungszuschuss
housing allowance                  Wohnungszuschuss, Wohngeld
housing area                       Wohngebiet
housing benefit                    Wohngeld, Wohnungszuschuss
housing development                Siedlungsbau
housing shortage                   Wohnungsnot
hover                              in der Luft schweben
how the seller should              wie der Verkäufer sollte
however                            jedoch
however described                  wie auch immer bezeichnet
however named                      wie auch immer benannt

huckster                           Höker, Profitmacher, verhökern
huddle                             Wirrwarr
huddle together                    zusammendrängen
huddle through                     sich durchwursteln
hull                               Schifsrumpf
hull insurance                     Frachtversicherung
hull underwriter                   Seekaskoversicherer
hum                                summen
human                              menschlich
human capital                      Bildungskapital
human climate                      Betriebsklima
human engineering                  Anpassung der Arbeitsbedingungen
human relations                    menschliche Beziehungen
human relations                    Mitarbeiterbeziehungen
human relations                    zwischenmenschliche Beziehungen im Betrieb
human resource development         Entwicklung der menschlichen Arbeitskräfte
human resources                    Arbeitsreserven, potentielle Arbeitskräfte
human touch                        menschliche Note
humanities                         Geisteswissenschaften
humanization of work               Humanisierung des Arbeitslebens
humanize                           menschlich machen, vermenschlichen
humble                             niedrig, bescheiden, gering, erniedrigen
humbug                             Schwindel, Schwindler, schwindeln
humid                              feucht
humidifier                         Luftbefeuchtungsanlage
humidifier                         Raumbefeuchter, Luftbefeuchter
humiliate                          erniedrigen, demütigen, beschämen
humiliating                        beschämend, erniedrigend
humiliation                        Demütigung, Erniedrigung, Beschämung
humorist                           Humorist
humorous                           humorvoll
hundred per cent incentive         linearer Akkord
hundredweight                      Zentner (Br.50.8 kg)
hunger                             Hunger
hungry                             hungrig
hunt                               jagen, Jagd
hunt for a job                     Arbeit suchen, Stelle suchen
hunting accident                   Jagdunfall
hunting for a job                  auf Arbeitssuche
hunting liability insurance        Jagdhaftpflichtversicherung
hurried                            eilig, hastig
hurtful                            schädlich, schädigend, nachteilig
hurry                              Eile
hurry away                         davoneilen
hurry off                          wegeilen
hurt                               verletzen, verletzt
husband                            Ehemann, Gatte
hush                               zum Schweigen bringen
hush money                         Schweigegeld
hustle                             drängen, schieben

hybrid                             gemischt, hybrid
hydrogen                           Wasserstoff
hygiene                            Hygiene
hygienic                           hygienisch, gesundheitlich
hypercritic                        überkritisch
hyperinflation                     galoppierende Inflation, Überinflation
hypermarket                        großer Einkaufsmarkt
hypnotic                           hypnotisch
hypnosis                           Hypnose
hypnotize                          hypnotisieren
hypocrisy                          Heuchelei
hypocritical                       heuchlerisch
hypothecate                        verpfänden
hypothecation                      Beleihung, Verpfändung
hypothecation                      Verpfändung
hypotheses                         Hypothesen
hypothesis                         Hypothese
hysteria                           Hysterie
hysterical                         hysterisch


I

id est                             das heißt
ICC                                International Chamber of Commerce
ICC                                Internationale Handelskammer
ICC's Banking Commission           ICC-Bankenkommission
ice box                            Kühlschrank (US)
iciness                            Kälte
icy                                eisig
idea                               Idee, Gedanke, Einfall
ideal                              optimal, ideal, Ideal
ideal capacity                     optimale Kapazität
ideal distribution                 ideale Verteilung
ideal position                     optimale Stellung
ideal situation                    optimale Lage
idealize                           idealisieren
identical                          identisch, gleich, gleichlautend
identification                     Identifizierung, Kennzeichnung
identification card                Ausweis, Personalausweis, Kennkarte
identification paper               Ausweispapier
identify                           identifizieren, erkennen, kennzeichnen
identify by date and number        mit Datum und Nummer bezeichnen
identifying code                   Erkennungskode
identity                           Identität
identity card                      Personalausweis
identity of interests              Interessenübereinstimmung
idle                               nicht produktiv, müßig, brachliegend
idle                               ungenutzt
idle balances                      nicht aktive Posten
idle capacity                      Leerkapazität, ungenutzte Kapazität
idle capacity costs                Leerlaufkosten
idle capital                       totes Kapital
idle facilities                    ungenutzte Betriebsanlagen
idle fellow                        Faulenzer
idle hour                          Mußestunde
idle man                           untätiger Mitarbeiter
idle money                         nicht angelegtes Kapital
idle money                         nicht arbeitendes Geld, ungenutztes Geld 
idle period                        Liegezeit, Ruhezeit, Stillstandszeit
idle protest                       nutzloser Protest
idle talk                          leeres Geschwätz
idle time                          ungenutzte Zeit, Leerlaufzeit, Wartezeit
idleness                           Untätigkeit
idol                               Abgott, Idol
idyll                              Idylle
idyllic                            idyllisch

if and to the extent to which      wenn und soweit
if customary                       falls dies dem Handelsbrauch entspricht
if he fails to take delivery       wenn er die Ware nicht abnimmt
if marked as original              falls als Original gekennzeichnet
if necessary                       nötigenfalls
if need be                         gegebenenfalls
if no precise point                falls kein genau bestimmter Ort
if no such airport has been so named falls kein Bestimmungsflughafen benannt ist
if paid by the seller              falls vom Verkäufer gezahlt
if paid on behalf of the seller    falls im Namen des Verkäufers gezahlt
if possible                        soweit möglich, falls möglich
if procurable                      sofern dies möglich ist
if procurable                      wenn möglich
if such instructions are not received  falls solche Weisungen nicht eingehen
if such negotiation is not effected falls eine solche Negoziierung nicht erfolgt
if the address is incomplete       falls die Anschrift unvollständig ist
if the address is incorrect        falls die Anschrift unrichtig ist
if the bank fails to act           falls die Bank es versäumt zu handeln
if the bank is prepared to act     falls die Bank zu handeln bereit ist
if the credit provides for acceptance  wenn das Akkreditiv Akzeptierung vorsieht
if the credit provides for negotiation wenn das Akkreditiv Negoziierung vorsieht
if the credits provides for            wenn das Akkreditiv vorsieht
if the distance is short           wenn die Entfernung gering ist
if the order includes an instruction   wenn der Auftrag eine Anweisung enthält
if the parties wish that           falls die Parteien wünschen, dass
if the seller elects to            falls sich der Käufer entschließt
if there are several points        wenn es mehrere Orte gibt
if there are several stations      gibt es mehrere Bahnhöfe
if they wish to refer to a term    wenn sie sich auf eine Formel beziehen w.

ignoramus                          unwissender Mensch
ignorance                          Unwissenheit, Unkenntnis
ignorance is no excuse             Unwissenheit ist keine Entschuldigung
ignorance of law                   Unkenntnis des Gesetzes
ignorant                           nicht wissend, unkundig
ignore                             ignorieren, nicht beachten, übersehen
ignore facts                       Fakten übersehen
ignore evidence                    Beweismaterial nicht beachten
ignore a remark                    eine Bemerkung überhören
ignore a reminder                  einen Mahnbrief unbeachtet lassen
ignore a person                    eine Person nicht beachten

ill                                über, schlimm, krank, schlecht
ill fame                           übler Ruf
ill health                         schlechte Gesundheit
ill management                     schlechte Geschäftsführung
ill with fever                     fieberkrank
ill-advised                        schlecht beraten
ill-conditioned                    schlecht beschaffen
ill-disposed                       übel gesinnt
ill-humoured                       in schlechter Stimmung
ill-paid                           schlecht bezahlt
illegal                            ungesetzlich, illegal, rechtswidrig
illegal acquisition                unberechtigter Erwerb
illegal contract                   gesetzwidriger Vertrag
illegal employment                 Schwarzarbeit
illegal entry                      illegale Einfuhr
illegible                          unleserlich
illegitimacy                       Unrechtmäßigkeit
illegitimate                       unrechtmäßig
illiberal                          unfrei, niedrig, engherzig
illicit                            unerlaubt, gesetzwidrig
illicit business                   verbotene Geschäfte
illicit commerce                   unerlaubter Handel
illicit dealing                    unerlaubte Geschäfte
illicit discount                   unerlaubter Skontoabzug
illicit distillation               Schwarzbrennerei
illicit earnings                   unerlaubter Verdienst
illicit labour                     Arbeitskräfte ohne Arbeitsgenehmigung
illicit trade                      Schleichhandel
illicit trade                      verbotener Handel
illicit work                       Schwarzarbeit, verbotene Arbeit
illicit work                       unerlaubte Arbeit, Arbeit ohne Erlaubnis
illicit worker                     Schwarzarbeiter
illimitable                        unbegrenzbar, grenzenlos
illiquid                           illiquide
illiquid                           nicht flüssig
illiquid                           zahlungsunfähig, nicht flüssig
illiquid assets                    schwer zu liquidierende Aktivposten
illiquidity                        Illiquidität
illiquidity                        Zahlungsunfähigkeit
illiterate                         ungelehrt
illiterate person                  Ungebildeter
illness                            Krankheit
illogical                          unlogisch, unvernünftig
illuminate                         beleuchten, erleuchten
illuminated advertising            Leuchtreklame
illuminated panel                  Leuchttafel
illumination                       Festbeleuchtung
illusion                           Illusion, Sinnestäuschung
illusive                           täuschend
illustrate                         bebildern, illustrieren, erläutern
illustrate                         veranschaulichen
illustrated advertisement          illustrierte Anzeige
illustration                       Erläuterung, Bebilderung, Darstellung
illustrative                       erklärend, erläuternd
illustrator                        Illustrator, Zeichner
illustrious                        glänzend, berühmt

imaginable                         vorstellbar, denkbar
imaginary                          imaginär, eingebildet, gedacht
imaginary damages                  imaginäre Schadensersatzforderung
imaginary profit                   erwarteter Gewinnverlust bei Versicherungen
imaginary profit                   imaginärer Gewinn
imagination                        Vorstellungskraft, Vorstellungsgabe
imagination                        Phantasie, Imagination, Einbildungskraft
image                              Bild, Abbild, abbilden
imbalance                          Unausgeglichenheit, Unausgewogenheit
imbalance                          Ungleichgewicht
imbalance of supply and demand     Unausgewogenheit von Angebot und Nachfrage
imbalance on the labour market     Arbeitsmarktungleichgewicht
imbecile                           blöd, blödsinnig, geistesschwach, idiotisch
imitable                           nachahmbar
imitate                            nachahmen, nachmachen, imitieren, nachäffen
imitation                          Nachahmung
imitation leather                  Lederimitation
imitative                          nachahmend
imitative instinct                 Nachahmungstrieb
imitator                           Nachahmer
immanent                           innewohnend
immaterial                         unkörperlich, unwesentlich
immature                           unreif
immeasurable                       unermesslich
immediate                          unmittelbar. sofort
immediate annuity                  sofort beginnende Rente
immediate consequence              unmittelbare Folge
immediate delivery                 sofortige Lieferung
immediate demand                   sofortiger Bedarf
immediate neighbours               unmittelbare Nachbarn
immediate object                   unmittelbares Ziel
immediate possession               sofortiger Besitz
immediate vicinity                 unmittelbare Nachbarschaft
immediately                        sofort, sogleich
immediately available              sofort verfügbar
immediately effective              sofort gültig, mit sofortiger Wirkung
immense                            riesig, unermesslich, ungeheuer, gewaltig
immense length                     ungeheure Länge
immerse                            eintauchen, untertauchen
immersed                           versunken
immigrant                          Einwanderer, einwandernd
immigrant population               eingewanderte Bevölkerung
immigrate                          einwandern
immigration                        Einwanderung
immigration country                Einwanderungsland
immigration quota                  Einwanderungsquote
imminence                          Bevorstehen, Bedrohung
imminent                           unmittel bevorstehend, drohend
imminent danger                    unmittelbare Gefahr
immobile                           unbeweglich
immobility                         Unbeweglichkeit
immobilize                         unbeweglich machen, festlegen
immobilize coins                   Münzen aus dem Verkehr ziehen
immobilized                        aus dem Verkehr gezogen
immoderate                         übermäßig groß, übertrieben
immodest                           unbescheiden
immoral                            sittenwidrig, unmoralisch
immoral contract                   gegen die guten Sitten verstoßender Vertrag
immoral tendencies                 lasterhafte Tendenzen
immoral life                       unmoralische Lebensführung
immortal                           unsterblich
immovability                       Unbeweglichkeit, Unerschütterlichkeit
immovable                          unbeweglich, unerschütterlich
immovable property                 Immobilien
immovables                         Immobilien
immovables                         unbewegliche Güter, Immobilien
immune                             immun, geschützt, unempfänglich
immutable                          unveränderlich
impact                             Bedeutung, Einwirkung, Aufprall
impact of a measure                Wirkung einer Maßnahme
impact study                       Untersuchung der Werbewirksamkeit
impact test                        Wirkungstest
impair                             beeinträchtigen, vermindern, verschlechtern
impair                             schmälern, schwächen, schädigen
impaired capital                   durch Verluste gemindertes Kapital
impaired capital                   nicht gedecktes Kapital
impairment                         Beeinträchtigung
impart                             mitteilen, übermitteln
impartial                          unparteiisch
impassable                         unwegsam, unpassierbar
impassible                         unempfindlich
impatience                         Ungeduld
impatient                          ungeduldig
impeach                            anklagen
impeccable                         fehlerlos, tadellos
impecunious                        arm und mittellos
impede                             behindern
impel                              antreiben
impenetrable                       undurchdringlich
imperative                         gebieterisch, zwingend, imperativ
imperceptible                      unmerklich
imperfect                          unvollkommen, mangelhaft
imperfect competition              imperfekter Wettbewerb
imperfect competition              unvollständige Konkurrenz
imperfect market                   imperfekter Markt
imperfection                       Mangelhaftigkeit, Unvollkommenheit
imperil                            gefährden
imperiled                          Gefahren ausgesetzt
imperishable                       unvergänglich
impermeable                        undurchdringlich
impersonal                         unpersönlich
impersonal accounts                Sachkonten
impertinence                       Frechheit
impertinent                        frech, unverschämt, nicht zur Sache gehörig
impertinent answer                 freche Antwort
impertinent behaviour              freches Benehmen
impertinent tone                   frecher Gesprächston
imperturbable                      unerschütterlich, ruhig, gleichmütig
imperturbability                   Unerschütterlichkeit
impetus                            Ansturm
implant                            einpflanzen
implement                          Gerät, Hilfsmittel, Arbeitsgerät
implicate                          implizieren, einschließen
implication                        Implikation, Verwicklung
implicit                           impliziert
implicit                           stillschweigend
implicit                           stillschweigend unterstellt
implicit consent                   stillschweigende Zustimmung
implied                            impliziert
implied authority                  stillschweigende Vollmacht, implizierte
implied conditions                 implizierte Bedingungen
implied engagement                 stillschweigende Zusage
implore                            anflehen
imply                              implizieren, stillschweigend andeuten
impolite                           unhöflich
imponderable                       unwägbar
imponderability                    Unwägbarkeit
import                             Einfuhr, einführen
import                             Import, importieren
import article                     Importartikel, Importware
import ban                         Einfuhrverbot
import broker                      Importmakler
import commission agent            Importkommissionär
import company                     Importunternehmen
import control                     Einfuhrkontrolle
import division                    Importabteilung
import duty                        Einfuhrabgabe, Einfuhrzoll
import levy                        Einfuhrabgabe, Einfuhrzoll
import licence                     Einfuhrerlaubnis
import list                        Importliste
import merchant                    Importkaufmann
import of foreign capital          Kapitaleinfuhr
import permit                      Einfuhrerlaubnis
import quota                       Einfuhrquote
import rebate                      Einfuhrvergünstigung
import restrictions                Einfuhrbeschränkungen
import substitution                Importsubstitution
import trade                       Einfuhrhandel
import-turnover tax                Einfuhrumsatzsteuer
importation                        Einfuhr
importation in bond                Einfuhr unter Zollverschluss
imported commodities               Einfuhrwaren, eingeführte Waren
imported goods                     Einfuhrwaren, eingeführte Waren
importer                           Importeur
importing firm                     Importfirma
impose                             auferlegen
impose a fine                      eine Geldstrafe auferlegen
impose a restriction               eine Beschränkung auferlegen
impose a tax                       eine Steuer auferlegen
impose an embargo                  ein Embargo auferlegen
impose an obligation               eine Verpflichtung auferlegen
imposed by foreign laws            beruhend auf ausländischen Gesetzen
imposed by foreign usages          beruhend auf ausländischem Handelsbrauch
imposition                         Auferlegung
impossibility of performance       Unmöglichkeit der Erfüllung
impossible                         unmöglich
impostor                           Schwindler
impoverish                         arm machen
impracticable                      nicht zu verwirklichen
imprecise terms                    ungenaue Ausdrücke
impregnate                         imprägnieren
impress                            einprägen, beeindrucken
impressed                          beeindruckt
impressible                        empfänglich
impression                         Eindruck
impressive                         eindrucksvoll
impressive speech                  beeindruckende Rede
imprint                            Aufdruck, aufdrucken
imprison                           verhaften, einsperren, einkerkern
improbable                         unwahrscheinlich
improper                           unpassend, unsachgemäß
improper conduct                   unpassendes Benehmen
improper packing                   unsachgemäße Verpackung
impropriety                        Ungehörigkeit
improvable                         verbesserungsfähig
improvability                      Verbesserungsfähigkeit
improve                            sich bessern, verbessern
improvement                        Besserung, Verbesserung
improvement of the situation       Verbesserung der Situation
improvement bonds                  Art von Kommunalanleihe
improvement factor                 Verbesserungsfaktor
improvement of land                Bodenverbesserung
improvement of living conditions   Verbesserung der Lebensbedingungen
improvements                       Werterhöhungen, Verbesserungen
improvidence                       Unvorsichtigkeit, Mangel an Vorsorge
improvident                        unvorsichtig, unwirtschaftlich
improvise                          improvisieren, aus dem Stegreif schaffen
imprudence                         Unklugheit, Unbedachtsamkeit
imprudent                          unklug, unbedacht
impudence                          Unverschämtheit
impudent                           unverschämt, dreist, schamlos
impulse                            Anstoß, Antrieb, Impuls
impulse buyer                      spontaner Käufer
impulse buying                     Spontankauf
impulse sales                      Verkäufe durch spontane Kaufentschlüsse
impulsive                          impulsiv, treibend
impure                             unrein
impurity                           Unreinheit
imputed risk                       kalkulatorisches Wagnis


in a buying mood                   in Kaufstimmung
in a case of urgency               in einem dringenden Fall
in a consultative capacity         in beratender Funktion
in a falling market                bei fallenden Preisen, fallenden Kursen
in a great measure                 großenteils
in a managerial capacity           in leitender Funktion
in a previous version              in einer früheren Version
in a professional capacity         in professioneller Funktion
in a rising market                 bei anziehenden Preisen, anziehenden Kursen
in a seagoing vessel               in einem Seeschiff
in a transferable form             in übertragbarer Weise
in a way                           in gewisser Hinsicht
in accord with                     in Übereinstimmung mit
in accordance with                 in Übereinstimmung mit
in accordance with instructions    nach den Weisungen
in accordance with local custom    wie am Orte üblich
in accordance with the facts       den Tatsachen entsprechend
in accordance with the following rules  nach folgenden Regeln
in accordance with the regulations in Übereinstimmung mit den Vorschriften
in accordance with the rules       in Übereinstimmung mit dieser Ordnung
in accordance with the terms       in Übereinstimmung mit den Richtlinien
in accordance with these rules     in Übereinstimmung mit diesen Richtlinien
in account with                    in Übereinstimmung mit
in addition                        zusätzlich
in addition to                     zusätzlich zu
in addition to any expenses        zuzüglich zu allen Kosten
in addition to the principal amount  zusätzlich zum Hauptbetrag
in advance                         im voraus
in agreement with                  übereinstimmend mit
in agreement with the rules        in Übereinstimmung mit den Regeln
in all cases                       in allen Fällen
in all its particulars             in allen Einzelheiten
in an advisory capacity            in beratender Funktion
in anticipation of                 im Vorgriff auf
in anticipation of                 in Vorwegnahme von
in arrears                         im Rückstand sein
in banking circles                 in Bankkreisen
in banking practice                im Bankwesen
in block letters                   in Druckbuchstaben
in bond                            unter Zollverschluss
in brackets                        in Klammern
in capital letters                 in Großbuchstaben
in case                            im Falle
in case he may have reserved       falls er sich vorbehalten hat
in case of                         im Falle von
in case of affirmation             bejahendenfalls
in case of an emergency            im Notfall
in case of being prevented         im Falle der Verhinderung
in case of dishonour               bei Nichteinlösung
in case of doubt                   im Zweifel, im Zweifelsfalle
in case of doubt                   im Zweifelsfall
in case of emergency               notfalls
in case of loss                    im Falle des Verlusts, im Schadensfalle
in case of need                    im Notfall, notfalls
in certain circumstances           unter gewissen Umständen
in cipher                          chiffriert
in circulation                     im Umlauf
in compliance with a condition     in Erfüllung einer Bedingung, Übereinstimmung
in compliance with a law           in Beachtung eines Gesetzes
in compliance with a rule          in Befolgung einer Regel
in compliance with the regulations in Beachtung der Vorschriften
in compliance with the requirements in Erfüllung der Voraussetzungen
in conformity                      gleichlautend
in conformity with instructions    nach den Weisungen
in conformity with the contract    in Übereinstimmung mit dem Vertrag
in connection with any action      im Zusammenhang mit irgendeiner Maßnahme
in connection with such protest    im Zusammenhang mit einem solchen Protest
in connection with the present contract  aus dem gegenwärtigen Vertrag
in connection with the proceedings im Zusammenhang mit dem Verfahren
in consideration of                anbetracht
in constant requisition            ständig gebraucht
in credit operations               im Akkreditiv-Geschäft
in currency of the country         in der Währung des Landes
in default of appearance           bei Nichterscheinen
in default of delivery             mangels Lieferung
in default of payment              mangels Zahlung
in different countries             in verschiedenen Ländern
in discharge of a debt             in Ablösung einer Schuld
in discharge of his duties         aufgrund der Erfüllung seiner Verpflichtungen
in doing so                        dabei
in domestic trade                  im inländischen Handel
in due time                        rechtzeitig
in English currency                in englischer Währung
in fact                            tatsächlich
in favour of                       zugunsten von
in fee simple                      als freier Grundbesitz
in force                           gültig
in force                           in Kraft
in force on                        Tag des Inkrafttretens
in foreign contracts               in Verträge mit dem Ausland
in French currency                 in französischer Währung
in German currency                 in deutscher Währung
in good order and condition        in gutem Zustand, in einwandfreiem Zustand
in his stead                       an seiner Stelle
in international trade             im internationalen Handel
in joint security                  gemeinsam haftend
in keeping with the rules          in Befolgung der Regeln
in larger quantities               in größeren Mengen
in lieu of                         anstatt
in lieu thereof                    entsprechend, anstatt, an Stelle von
in lighters                        in Leichterschiffen
in line with the current practice  dem gegenwärtigen Handelsbrauch angepasst
in line with the market            marktgerecht
in liner trade                     in der Linienschifffahrt
in local currency                  in inländischer Währung
in making this revision            bei der Erstellung dieser Neuausgabe
in matters pertaining to           in Angelegenheiten, die beziehen auf
in monetary form                   in Form von Geld
in my capacity as                  in meiner Eigenschaft als
in my capacity as                  in meiner Stellung als
in my discretion                   nach meinem Ermessen
in no way                          in keiner Hinsicht
in obtaining any documents         bei der Besorgung irgendwelcher Dokumente
